aa	af:Afar	af-NA:Afar	am:አፋርኛ	ar:الأفارية	ar-AE:الأفارية	ar-BH:الأفارية	ar-DJ:الأفارية	ar-DZ:الأفارية	ar-EG:الأفارية	ar-EH:الأفارية	ar-ER:الأفارية	ar-IL:الأفارية	ar-IQ:الأفارية	ar-JO:الأفارية	ar-KM:الأفارية	ar-KW:الأفارية	ar-LB:الأفارية	ar-LY:الأفارية	ar-MA:الأفارية	ar-MR:الأفارية
rue	ast:rusyn	cs:rusínština	de:Russinisch	de-AT:Russinisch	de-BE:Russinisch	de-CH:Russinisch	de-IT:Russinisch	de-LI:Russinisch	de-LU:Russinisch	en:Rusyn	en-001:Rusyn	en-150:Rusyn	en-AE:Rusyn	en-AG:Rusyn	en-AI:Rusyn	en-AS:Rusyn	en-AT:Rusyn	en-AU:Rusyn	en-BB:Rusyn	en-BE:Rusyn
rug	ast:roviana	cs:rovianština	de:Roviana	de-AT:Roviana	de-BE:Roviana	de-CH:Roviana	de-IT:Roviana	de-LI:Roviana	de-LU:Roviana	en:Roviana	en-001:Roviana	en-150:Roviana	en-AE:Roviana	en-AG:Roviana	en-AI:Roviana	en-AS:Roviana	en-AT:Roviana	en-AU:Roviana	en-BB:Roviana	en-BE:Roviana
rup	af:Aromanies	af-NA:Aromanies	am:አሮማንያን	ar:الأرومانيان	ar-AE:الأرومانيان	ar-BH:الأرومانيان	ar-DJ:الأرومانيان	ar-DZ:الأرومانيان	ar-EG:الأرومانيان	ar-EH:الأرومانيان	ar-ER:الأرومانيان	ar-IL:الأرومانيان	ar-IQ:الأرومانيان	ar-JO:الأرومانيان	ar-KM:الأرومانيان	ar-KW:الأرومانيان	ar-LB:الأرومانيان	ar-LY:الأرومانيان	ar-MA:الأرومانيان	ar-MR:الأرومانيان
rw	af:Rwandees	af-NA:Rwandees	agq:Lùwandà	ak:Rewanda kasa	am:ኪንያርዋንዳ	ar:الكينيارواندا	ar-AE:الكينيارواندا	ar-BH:الكينيارواندا	ar-DJ:الكينيارواندا	ar-DZ:الكينيارواندا	ar-EG:الكينيارواندا	ar-EH:الكينيارواندا	ar-ER:الكينيارواندا	ar-IL:الكينيارواندا	ar-IQ:الكينيارواندا	ar-JO:الكينيارواندا	ar-KM:الكينيارواندا	ar-KW:الكينيارواندا	ar-LB:الكينيارواندا	ar-LY:الكينيارواندا
rwk	af:Rwa	af-NA:Rwa	am:ርዋ	ar:الروا	ar-AE:الروا	ar-BH:الروا	ar-DJ:الروا	ar-DZ:الروا	ar-EG:الروا	ar-EH:الروا	ar-ER:الروا	ar-IL:الروا	ar-IQ:الروا	ar-JO:الروا	ar-KM:الروا	ar-KW:الروا	ar-LB:الروا	ar-LY:الروا	ar-MA:الروا	ar-MR:الروا
sa	af:Sanskrit	af-NA:Sanskrit	ak:Sanskrit kasa	am:ሳንስክሪት	ar:السنسكريتية	ar-AE:السنسكريتية	ar-BH:السنسكريتية	ar-DJ:السنسكريتية	ar-DZ:السنسكريتية	ar-EG:السنسكريتية	ar-EH:السنسكريتية	ar-ER:السنسكريتية	ar-IL:السنسكريتية	ar-IQ:السنسكريتية	ar-JO:السنسكريتية	ar-KM:السنسكريتية	ar-KW:السنسكريتية	ar-LB:السنسكريتية	ar-LY:السنسكريتية	ar-MA:السنسكريتية
sad	af:Sandawees	af-NA:Sandawees	am:ሳንዳዌ	ar:السانداوي	ar-AE:السانداوي	ar-BH:السانداوي	ar-DJ:السانداوي	ar-DZ:السانداوي	ar-EG:السانداوي	ar-EH:السانداوي	ar-ER:السانداوي	ar-IL:السانداوي	ar-IQ:السانداوي	ar-JO:السانداوي	ar-KM:السانداوي	ar-KW:السانداوي	ar-LB:السانداوي	ar-LY:السانداوي	ar-MA:السانداوي	ar-MR:السانداوي
sah	af:Jakoeties	af-NA:Jakoeties	ak:Yakut Kasa	am:ያኩት	ar:الساخيّة	ar-AE:الساخيّة	ar-BH:الساخيّة	ar-DJ:الساخيّة	ar-DZ:الساخيّة	ar-EG:الساخيّة	ar-EH:الساخيّة	ar-ER:الساخيّة	ar-IL:الساخيّة	ar-IQ:الساخيّة	ar-JO:الساخيّة	ar-KM:الساخيّة	ar-KW:الساخيّة	ar-LB:الساخيّة	ar-LY:الساخيّة	ar-MA:الساخيّة
sam	ar:الآرامية السامرية	ar-AE:الآرامية السامرية	ar-BH:الآرامية السامرية	ar-DJ:الآرامية السامرية	ar-DZ:الآرامية السامرية	ar-EG:الآرامية السامرية	ar-EH:الآرامية السامرية	ar-ER:الآرامية السامرية	ar-IL:الآرامية السامرية	ar-IQ:الآرامية السامرية	ar-JO:الآرامية السامرية	ar-KM:الآرامية السامرية	ar-KW:الآرامية السامرية	ar-LB:الآرامية السامرية	ar-LY:الآرامية السامرية	ar-MA:الآرامية السامرية	ar-MR:الآرامية السامرية	ar-OM:الآرامية السامرية	ar-PS:الآرامية السامرية	ar-QA:الآرامية السامرية
saq	af:Samburu	af-NA:Samburu	am:ሳምቡሩ	ar:سامبورو	ar-AE:سامبورو	ar-BH:سامبورو	ar-DJ:سامبورو	ar-DZ:سامبورو	ar-EG:سامبورو	ar-EH:سامبورو	ar-ER:سامبورو	ar-IL:سامبورو	ar-IQ:سامبورو	ar-JO:سامبورو	ar-KM:سامبورو	ar-KW:سامبورو	ar-LB:سامبورو	ar-LY:سامبورو	ar-MA:سامبورو	ar-MR:سامبورو
sas	ar:الساساك	ar-AE:الساساك	ar-BH:الساساك	ar-DJ:الساساك	ar-DZ:الساساك	ar-EG:الساساك	ar-EH:الساساك	ar-ER:الساساك	ar-IL:الساساك	ar-IQ:الساساك	ar-JO:الساساك	ar-KM:الساساك	ar-KW:الساساك	ar-LB:الساساك	ar-LY:الساساك	ar-MA:الساساك	ar-MR:الساساك	ar-OM:الساساك	ar-PS:الساساك	ar-QA:الساساك
sat	af:Santalies	af-NA:Santalies	ak:Santal kasa	am:ሳንታሊ	ar:السانتالية	ar-AE:السانتالية	ar-BH:السانتالية	ar-DJ:السانتالية	ar-DZ:السانتالية	ar-EG:السانتالية	ar-EH:السانتالية	ar-ER:السانتالية	ar-IL:السانتالية	ar-IQ:السانتالية	ar-JO:السانتالية	ar-KM:السانتالية	ar-KW:السانتالية	ar-LB:السانتالية	ar-LY:السانتالية	ar-MA:السانتالية
saz	ast:saurashtra	cs:saurášterština	de:Saurashtra	de-AT:Saurashtra	de-BE:Saurashtra	de-CH:Saurashtra	de-IT:Saurashtra	de-LI:Saurashtra	de-LU:Saurashtra	en:Saurashtra	en-001:Saurashtra	en-150:Saurashtra	en-AE:Saurashtra	en-AG:Saurashtra	en-AI:Saurashtra	en-AS:Saurashtra	en-AT:Saurashtra	en-AU:Saurashtra	en-BB:Saurashtra	en-BE:Saurashtra
sba	af:Ngambay	af-NA:Ngambay	am:ንጋምባይ	ar:نامبي	ar-AE:نامبي	ar-BH:نامبي	ar-DJ:نامبي	ar-DZ:نامبي	ar-EG:نامبي	ar-EH:نامبي	ar-ER:نامبي	ar-IL:نامبي	ar-IQ:نامبي	ar-JO:نامبي	ar-KM:نامبي	ar-KW:نامبي	ar-LB:نامبي	ar-LY:نامبي	ar-MA:نامبي	ar-MR:نامبي
sbp	af:Sangu	af-NA:Sangu	am:ሳንጉ	ar:سانغو	ar-AE:سانغو	ar-BH:سانغو	ar-DJ:سانغو	ar-DZ:سانغو	ar-EG:سانغو	ar-EH:سانغو	ar-ER:سانغو	ar-IL:سانغو	ar-IQ:سانغو	ar-JO:سانغو	ar-KM:سانغو	ar-KW:سانغو	ar-LB:سانغو	ar-LY:سانغو	ar-MA:سانغو	ar-MR:سانغو
sc	af:Sardinies	af-NA:Sardinies	ak:Saadinia kasa	am:ሳርዲንያን	ar:السردينية	ar-AE:السردينية	ar-BH:السردينية	ar-DJ:السردينية	ar-DZ:السردينية	ar-EG:السردينية	ar-EH:السردينية	ar-ER:السردينية	ar-IL:السردينية	ar-IQ:السردينية	ar-JO:السردينية	ar-KM:السردينية	ar-KW:السردينية	ar-LB:السردينية	ar-LY:السردينية	ar-MA:السردينية
scn	af:Sisiliaans	af-NA:Sisiliaans	am:ሲሲሊያንኛ	ar:الصقلية	ar-AE:الصقلية	ar-BH:الصقلية	ar-DJ:الصقلية	ar-DZ:الصقلية	ar-EG:الصقلية	ar-EH:الصقلية	ar-ER:الصقلية	ar-IL:الصقلية	ar-IQ:الصقلية	ar-JO:الصقلية	ar-KM:الصقلية	ar-KW:الصقلية	ar-LB:الصقلية	ar-LY:الصقلية	ar-MA:الصقلية	ar-MR:الصقلية
sco	af:Skots	af-NA:Skots	am:ስኮትስ	ar:الأسكتلندية	ar-AE:الأسكتلندية	ar-BH:الأسكتلندية	ar-DJ:الأسكتلندية	ar-DZ:الأسكتلندية	ar-EG:الأسكتلندية	ar-EH:الأسكتلندية	ar-ER:الأسكتلندية	ar-IL:الأسكتلندية	ar-IQ:الأسكتلندية	ar-JO:الأسكتلندية	ar-KM:الأسكتلندية	ar-KW:الأسكتلندية	ar-LB:الأسكتلندية	ar-LY:الأسكتلندية	ar-MA:الأسكتلندية	ar-MR:الأسكتلندية
sd	af:Sindhi	af-NA:Sindhi	ak:Sindi	am:ሲንዲ	ar:السندية	ar-AE:السندية	ar-BH:السندية	ar-DJ:السندية	ar-DZ:السندية	ar-EG:السندية	ar-EH:السندية	ar-ER:السندية	ar-IL:السندية	ar-IQ:السندية	ar-JO:السندية	ar-KM:السندية	ar-KW:السندية	ar-LB:السندية	ar-LY:السندية	ar-MA:السندية
sdc	ast:sardu sassarés	br:sasareseg	ca:sasserès	ca-AD:sasserès	ca-ES-valencia:sasserès	ca-FR:sasserès	ca-IT:sasserès	cs:sassarština	cy:Sasareseg Sardinia	de:Sassarisch	de-AT:Sassarisch	de-BE:Sassarisch	de-CH:Sassarisch	de-IT:Sassarisch	de-LI:Sassarisch	de-LU:Sassarisch	en:Sassarese Sardinian	en-001:Sassarese Sardinian	en-150:Sassarese Sardinian	en-AE:Sassarese Sardinian
sdh	af:Suid-Koerdies	af-NA:Suid-Koerdies	am:ደቡባዊ ኩርዲሽ	ar:الكردية الجنوبية	ar-AE:الكردية الجنوبية	ar-BH:الكردية الجنوبية	ar-DJ:الكردية الجنوبية	ar-DZ:الكردية الجنوبية	ar-EG:الكردية الجنوبية	ar-EH:الكردية الجنوبية	ar-ER:الكردية الجنوبية	ar-IL:الكردية الجنوبية	ar-IQ:الكردية الجنوبية	ar-JO:الكردية الجنوبية	ar-KM:الكردية الجنوبية	ar-KW:الكردية الجنوبية	ar-LB:الكردية الجنوبية	ar-LY:الكردية الجنوبية	ar-MA:الكردية الجنوبية	ar-MR:الكردية الجنوبية
sdh-menu-core	en:Kurdish	en-001:Kurdish	en-150:Kurdish	en-AE:Kurdish	en-AG:Kurdish	en-AI:Kurdish	en-AS:Kurdish	en-AT:Kurdish	en-AU:Kurdish	en-BB:Kurdish	en-BE:Kurdish	en-BI:Kurdish	en-BM:Kurdish	en-BS:Kurdish	en-BW:Kurdish	en-BZ:Kurdish	en-CA:Kurdish	en-CC:Kurdish	en-CH:Kurdish	en-CK:Kurdish
sdh-menu-extension	en:Southern	en-001:Southern	en-150:Southern	en-AE:Southern	en-AG:Southern	en-AI:Southern	en-AS:Southern	en-AT:Southern	en-AU:Southern	en-BB:Southern	en-BE:Southern	en-BI:Southern	en-BM:Southern	en-BS:Southern	en-BW:Southern	en-BZ:Southern	en-CA:Southern	en-CC:Southern	en-CH:Southern	en-CK:Southern
se	af:Noord-Sami	af-NA:Noord-Sami	am:ሰሜናዊ ሳሚ	ar:سامي الشمالية	ar-AE:سامي الشمالية	ar-BH:سامي الشمالية	ar-DJ:سامي الشمالية	ar-DZ:سامي الشمالية	ar-EG:سامي الشمالية	ar-EH:سامي الشمالية	ar-ER:سامي الشمالية	ar-IL:سامي الشمالية	ar-IQ:سامي الشمالية	ar-JO:سامي الشمالية	ar-KM:سامي الشمالية	ar-KW:سامي الشمالية	ar-LB:سامي الشمالية	ar-LY:سامي الشمالية	ar-MA:سامي الشمالية	ar-MR:سامي الشمالية
see	ar:السنيكا	ar-AE:السنيكا	ar-BH:السنيكا	ar-DJ:السنيكا	ar-DZ:السنيكا	ar-EG:السنيكا	ar-EH:السنيكا	ar-ER:السنيكا	ar-IL:السنيكا	ar-IQ:السنيكا	ar-JO:السنيكا	ar-KM:السنيكا	ar-KW:السنيكا	ar-LB:السنيكا	ar-LY:السنيكا	ar-MA:السنيكا	ar-MR:السنيكا	ar-OM:السنيكا	ar-PS:السنيكا	ar-QA:السنيكا
seh	af:Sena	af-NA:Sena	am:ሴና	ar:سينا	ar-AE:سينا	ar-BH:سينا	ar-DJ:سينا	ar-DZ:سينا	ar-EG:سينا	ar-EH:سينا	ar-ER:سينا	ar-IL:سينا	ar-IQ:سينا	ar-JO:سينا	ar-KM:سينا	ar-KW:سينا	ar-LB:سينا	ar-LY:سينا	ar-MA:سينا	ar-MR:سينا
sei	ast:seri	cs:seriština	cy:Seri	de:Seri	de-AT:Seri	de-BE:Seri	de-CH:Seri	de-IT:Seri	de-LI:Seri	de-LU:Seri	en:Seri	en-001:Seri	en-150:Seri	en-AE:Seri	en-AG:Seri	en-AI:Seri	en-AS:Seri	en-AT:Seri	en-AU:Seri	en-BB:Seri
sel	ar:السيلكب	ar-AE:السيلكب	ar-BH:السيلكب	ar-DJ:السيلكب	ar-DZ:السيلكب	ar-EG:السيلكب	ar-EH:السيلكب	ar-ER:السيلكب	ar-IL:السيلكب	ar-IQ:السيلكب	ar-JO:السيلكب	ar-KM:السيلكب	ar-KW:السيلكب	ar-LB:السيلكب	ar-LY:السيلكب	ar-MA:السيلكب	ar-MR:السيلكب	ar-OM:السيلكب	ar-PS:السيلكب	ar-QA:السيلكب
ses	af:Koyraboro Senni	af-NA:Koyraboro Senni	am:ኮይራቦሮ ሴኒ	ar:كويرابورو سيني	ar-AE:كويرابورو سيني	ar-BH:كويرابورو سيني	ar-DJ:كويرابورو سيني	ar-DZ:كويرابورو سيني	ar-EG:كويرابورو سيني	ar-EH:كويرابورو سيني	ar-ER:كويرابورو سيني	ar-IL:كويرابورو سيني	ar-IQ:كويرابورو سيني	ar-JO:كويرابورو سيني	ar-KM:كويرابورو سيني	ar-KW:كويرابورو سيني	ar-LB:كويرابورو سيني	ar-LY:كويرابورو سيني	ar-MA:كويرابورو سيني	ar-MR:كويرابورو سيني
sg	af:Sango	af-NA:Sango	am:ሳንጎ	ar:السانجو	ar-AE:السانجو	ar-BH:السانجو	ar-DJ:السانجو	ar-DZ:السانجو	ar-EG:السانجو	ar-EH:السانجو	ar-ER:السانجو	ar-IL:السانجو	ar-IQ:السانجو	ar-JO:السانجو	ar-KM:السانجو	ar-KW:السانجو	ar-LB:السانجو	ar-LY:السانجو	ar-MA:السانجو	ar-MR:السانجو
sga	ar:الأيرلندية القديمة	ar-AE:الأيرلندية القديمة	ar-BH:الأيرلندية القديمة	ar-DJ:الأيرلندية القديمة	ar-DZ:الأيرلندية القديمة	ar-EG:الأيرلندية القديمة	ar-EH:الأيرلندية القديمة	ar-ER:الأيرلندية القديمة	ar-IL:الأيرلندية القديمة	ar-IQ:الأيرلندية القديمة	ar-JO:الأيرلندية القديمة	ar-KM:الأيرلندية القديمة	ar-KW:الأيرلندية القديمة	ar-LB:الأيرلندية القديمة	ar-LY:الأيرلندية القديمة	ar-MA:الأيرلندية القديمة	ar-MR:الأيرلندية القديمة	ar-OM:الأيرلندية القديمة	ar-PS:الأيرلندية القديمة	ar-QA:الأيرلندية القديمة
sgs	ast:samogitianu	ba:самогит	blo:samburuu kagɩja	cs:žemaitština	cv:жемайт чӗлхи	cy:Samogiteg	de:Samogitisch	de-AT:Samogitisch	de-BE:Samogitisch	de-CH:Samogitisch	de-IT:Samogitisch	de-LI:Samogitisch	de-LU:Samogitisch	en:Samogitian	en-001:Samogitian	en-150:Samogitian	en-AE:Samogitian	en-AG:Samogitian	en-AI:Samogitian	en-AS:Samogitian
sh	af:Serwo-Kroaties	af-NA:Serwo-Kroaties	am:ሰርቦ-ክሮኤሽያኛ	ar:صربية-كرواتية	ar-AE:صربية-كرواتية	ar-BH:صربية-كرواتية	ar-DJ:صربية-كرواتية	ar-DZ:صربية-كرواتية	ar-EG:صربية-كرواتية	ar-EH:صربية-كرواتية	ar-ER:صربية-كرواتية	ar-IL:صربية-كرواتية	ar-IQ:صربية-كرواتية	ar-JO:صربية-كرواتية	ar-KM:صربية-كرواتية	ar-KW:صربية-كرواتية	ar-LB:صربية-كرواتية	ar-LY:الكرواتية الصربية	ar-MA:صربية-كرواتية	ar-MR:صربية-كرواتية
shi	af:Tachelhit	af-NA:Tachelhit	am:ታቼልሂት	ar:تشلحيت	ar-AE:تشلحيت	ar-BH:تشلحيت	ar-DJ:تشلحيت	ar-DZ:تشلحيت	ar-EG:تشلحيت	ar-EH:تشلحيت	ar-ER:تشلحيت	ar-IL:تشلحيت	ar-IQ:تشلحيت	ar-JO:تشلحيت	ar-KM:تشلحيت	ar-KW:تشلحيت	ar-LB:تشلحيت	ar-LY:تشلحيت	ar-MA:تشلحيت	ar-MR:تشلحيت
shn	af:Shan	af-NA:Shan	am:ሻን	ar:الشان	ar-AE:الشان	ar-BH:الشان	ar-DJ:الشان	ar-DZ:الشان	ar-EG:الشان	ar-EH:الشان	ar-ER:الشان	ar-IL:الشان	ar-IQ:الشان	ar-JO:الشان	ar-KM:الشان	ar-KW:الشان	ar-LB:الشان	ar-LY:الشان	ar-MA:الشان	ar-MR:الشان
shu	am:ቻዲያን ዓረብኛ	ar:العربية التشادية	ar-AE:العربية التشادية	ar-BH:العربية التشادية	ar-DJ:العربية التشادية	ar-DZ:العربية التشادية	ar-EG:العربية التشادية	ar-EH:العربية التشادية	ar-ER:العربية التشادية	ar-IL:العربية التشادية	ar-IQ:العربية التشادية	ar-JO:العربية التشادية	ar-KM:العربية التشادية	ar-KW:العربية التشادية	ar-LB:العربية التشادية	ar-LY:العربية التشادية	ar-MA:العربية التشادية	ar-MR:العربية التشادية	ar-OM:العربية التشادية	ar-PS:العربية التشادية
si	af:Sinhala	af-NA:Sinhala	ak:Sinhala	am:ሲንሃላ	ar:السنهالية	ar-AE:السنهالية	ar-BH:السنهالية	ar-DJ:السنهالية	ar-DZ:السنهالية	ar-EG:السنهالية	ar-EH:السنهالية	ar-ER:السنهالية	ar-IL:السنهالية	ar-IQ:السنهالية	ar-JO:السنهالية	ar-KM:السنهالية	ar-KW:السنهالية	ar-LB:السنهالية	ar-LY:السنهالية	ar-MA:السنهالية
sid	am:ሲዳምኛ	ar:السيدامو	ar-AE:السيدامو	ar-BH:السيدامو	ar-DJ:السيدامو	ar-DZ:السيدامو	ar-EG:السيدامو	ar-EH:السيدامو	ar-ER:السيدامو	ar-IL:السيدامو	ar-IQ:السيدامو	ar-JO:السيدامو	ar-KM:السيدامو	ar-KW:السيدامو	ar-LB:السيدامو	ar-LY:السيدامو	ar-MA:السيدامو	ar-MR:السيدامو	ar-OM:السيدامو	ar-PS:السيدامو
sk	af:Slowaaks	af-NA:Slowaaks	ak:Slovak Kasa	am:ስሎቫክኛ	ar:السلوفاكية	ar-AE:السلوفاكية	ar-BH:السلوفاكية	ar-DJ:السلوفاكية	ar-DZ:السلوفاكية	ar-EG:السلوفاكية	ar-EH:السلوفاكية	ar-ER:السلوفاكية	ar-IL:السلوفاكية	ar-IQ:السلوفاكية	ar-JO:السلوفاكية	ar-KM:السلوفاكية	ar-KW:السلوفاكية	ar-LB:السلوفاكية	ar-LY:السلوفاكية	ar-MA:السلوفاكية
skr	ba:сараиики	bal-Latn:Saráeki	blo:Gɩsarayikiija	cv:сирайки чӗлхи	eo:saraika	et:seraiki	fi:saraiki	gd:Saraiki	ia:saraiki	ig:skrr	kk:сарайки тілі	kk-Arab:سارايكي ءتىلى	kk-Cyrl:сарайки тілі	kk-KZ:сарайки тілі	ku:seraîkî	ku-Latn:seraîkî	ku-Latn-IQ:seraîkî	ku-Latn-SY:seraîkî	ku-TR:seraîkî	sc:saraiki
sl	af:Sloweens	af-NA:Sloweens	ak:Slovɛniafoɔ Kasa	am:ስሎቬንኛ	ar:السلوفانية	ar-AE:السلوفانية	ar-BH:السلوفانية	ar-DJ:السلوفانية	ar-DZ:السلوفانية	ar-EG:السلوفانية	ar-EH:السلوفانية	ar-ER:السلوفانية	ar-IL:السلوفانية	ar-IQ:السلوفانية	ar-JO:السلوفانية	ar-KM:السلوفانية	ar-KW:السلوفانية	ar-LB:السلوفانية	ar-LY:السلوفانية	ar-MA:السلوفانية
slh	af:Suid-Lushootseed	af-NA:Suid-Lushootseed	am:ደቡባዊ ሉሹትሲድ	ar:لوشوتسيد الجنوبية	ar-AE:لوشوتسيد الجنوبية	ar-BH:لوشوتسيد الجنوبية	ar-DJ:لوشوتسيد الجنوبية	ar-DZ:لوشوتسيد الجنوبية	ar-EG:لوشوتسيد الجنوبية	ar-EH:لوشوتسيد الجنوبية	ar-ER:لوشوتسيد الجنوبية	ar-IL:لوشوتسيد الجنوبية	ar-IQ:لوشوتسيد الجنوبية	ar-JO:لوشوتسيد الجنوبية	ar-KM:لوشوتسيد الجنوبية	ar-KW:لوشوتسيد الجنوبية	ar-LB:لوشوتسيد الجنوبية	ar-LY:لوشوتسيد الجنوبية	ar-MA:لوشوتسيد الجنوبية	ar-MR:لوشوتسيد الجنوبية
sli	ast:baxu silesianu	cs:němčina (slezská)	cy:Is-silesieg	de:Schlesisch (Niederschlesisch)	de-AT:Schlesisch (Niederschlesisch)	de-BE:Schlesisch (Niederschlesisch)	de-CH:Schlesisch (Niederschlesisch)	de-IT:Schlesisch (Niederschlesisch)	de-LI:Schlesisch (Niederschlesisch)	de-LU:Schlesisch (Niederschlesisch)	en:Lower Silesian	en-001:Lower Silesian	en-150:Lower Silesian	en-AE:Lower Silesian	en-AG:Lower Silesian	en-AI:Lower Silesian	en-AS:Lower Silesian	en-AT:Lower Silesian	en-AU:Lower Silesian	en-BB:Lower Silesian
sly	ast:selayarés	cs:selajarština	de:Selayar	de-AT:Selayar	de-BE:Selayar	de-CH:Selayar	de-IT:Selayar	de-LI:Selayar	de-LU:Selayar	en:Selayar	en-001:Selayar	en-150:Selayar	en-AE:Selayar	en-AG:Selayar	en-AI:Selayar	en-AS:Selayar	en-AT:Selayar	en-AU:Selayar	en-BB:Selayar	en-BE:Selayar
sm	af:Samoaans	af-NA:Samoaans	am:ሳሞኣን	ar:الساموائية	ar-AE:الساموائية	ar-BH:الساموائية	ar-DJ:الساموائية	ar-DZ:الساموائية	ar-EG:الساموائية	ar-EH:الساموائية	ar-ER:الساموائية	ar-IL:الساموائية	ar-IQ:الساموائية	ar-JO:الساموائية	ar-KM:الساموائية	ar-KW:الساموائية	ar-LB:الساموائية	ar-LY:الساموائية	ar-MA:الساموائية	ar-MR:الساموائية
sma	af:Suid-Sami	af-NA:Suid-Sami	am:ደቡባዊ ሳሚ	ar:السامي الجنوبي	ar-AE:السامي الجنوبي	ar-BH:السامي الجنوبي	ar-DJ:السامي الجنوبي	ar-DZ:السامي الجنوبي	ar-EG:السامي الجنوبي	ar-EH:السامي الجنوبي	ar-ER:السامي الجنوبي	ar-IL:السامي الجنوبي	ar-IQ:السامي الجنوبي	ar-JO:السامي الجنوبي	ar-KM:السامي الجنوبي	ar-KW:السامي الجنوبي	ar-LB:السامي الجنوبي	ar-LY:سامي الجنوبية	ar-MA:السامي الجنوبي	ar-MR:السامي الجنوبي
smj	af:Lule Sami	af-NA:Lule Sami	am:ሉሌ ሳሚ	ar:السامي لولي	ar-AE:السامي لولي	ar-BH:السامي لولي	ar-DJ:السامي لولي	ar-DZ:السامي لولي	ar-EG:السامي لولي	ar-EH:السامي لولي	ar-ER:السامي لولي	ar-IL:السامي لولي	ar-IQ:السامي لولي	ar-JO:السامي لولي	ar-KM:السامي لولي	ar-KW:السامي لولي	ar-LB:السامي لولي	ar-LY:السامي لولي	ar-MA:السامي لولي	ar-MR:السامي لولي
smn	af:Inari Sami	af-NA:Inari Sami	am:ኢናሪ ሳሚ	ar:الإيناري سامي	ar-AE:الإيناري سامي	ar-BH:الإيناري سامي	ar-DJ:الإيناري سامي	ar-DZ:الإيناري سامي	ar-EG:الإيناري سامي	ar-EH:الإيناري سامي	ar-ER:الإيناري سامي	ar-IL:الإيناري سامي	ar-IQ:الإيناري سامي	ar-JO:الإيناري سامي	ar-KM:الإيناري سامي	ar-KW:الإيناري سامي	ar-LB:الإيناري سامي	ar-LY:الإيناري سامي	ar-MA:الإيناري سامي	ar-MR:الإيناري سامي
sms	af:Skolt Sami	af-NA:Skolt Sami	am:ስኮልት ሳሚ	ar:السكولت سامي	ar-AE:السكولت سامي	ar-BH:السكولت سامي	ar-DJ:السكولت سامي	ar-DZ:السكولت سامي	ar-EG:السكولت سامي	ar-EH:السكولت سامي	ar-ER:السكولت سامي	ar-IL:السكولت سامي	ar-IQ:السكولت سامي	ar-JO:السكولت سامي	ar-KM:السكولت سامي	ar-KW:السكولت سامي	ar-LB:السكولت سامي	ar-LY:السكولت سامي	ar-MA:السكولت سامي	ar-MR:السكولت سامي
sn	af:Shona	af-NA:Shona	am:ሾና	ar:الشونا	ar-AE:الشونا	ar-BH:الشونا	ar-DJ:الشونا	ar-DZ:الشونا	ar-EG:الشونا	ar-EH:الشونا	ar-ER:الشونا	ar-IL:الشونا	ar-IQ:الشونا	ar-JO:الشونا	ar-KM:الشونا	ar-KW:الشونا	ar-LB:الشونا	ar-LY:الشونا	ar-MA:الشونا	ar-MR:الشونا
snk	af:Soninke	af-NA:Soninke	am:ሶኒንኬ	ar:السونينك	ar-AE:السونينك	ar-BH:السونينك	ar-DJ:السونينك	ar-DZ:السونينك	ar-EG:السونينك	ar-EH:السونينك	ar-ER:السونينك	ar-IL:السونينك	ar-IQ:السونينك	ar-JO:السونينك	ar-KM:السونينك	ar-KW:السونينك	ar-LB:السونينك	ar-LY:السونينك	ar-MA:السونينك	ar-MR:السونينك
so	af:Somalies	af-NA:Somalies	agq:Sòmalì	ak:Somalia kasa	am:ሱማልኛ	ar:الصومالية	ar-AE:الصومالية	ar-BH:الصومالية	ar-DJ:الصومالية	ar-DZ:الصومالية	ar-EG:الصومالية	ar-EH:الصومالية	ar-ER:الصومالية	ar-IL:الصومالية	ar-IQ:الصومالية	ar-JO:الصومالية	ar-KM:الصومالية	ar-KW:الصومالية	ar-LB:الصومالية	ar-LY:الصومالية
sog	ar:السوجدين	ar-AE:السوجدين	ar-BH:السوجدين	ar-DJ:السوجدين	ar-DZ:السوجدين	ar-EG:السوجدين	ar-EH:السوجدين	ar-ER:السوجدين	ar-IL:السوجدين	ar-IQ:السوجدين	ar-JO:السوجدين	ar-KM:السوجدين	ar-KW:السوجدين	ar-LB:السوجدين	ar-LY:السوجدين	ar-MA:السوجدين	ar-MR:السوجدين	ar-OM:السوجدين	ar-PS:السوجدين	ar-QA:السوجدين
sq	af:Albanees	af-NA:Albanees	ak:Aabeniani	am:አልባንያንኛ	ar:الألبانية	ar-AE:الألبانية	ar-BH:الألبانية	ar-DJ:الألبانية	ar-DZ:الألبانية	ar-EG:الألبانية	ar-EH:الألبانية	ar-ER:الألبانية	ar-IL:الألبانية	ar-IQ:الألبانية	ar-JO:الألبانية	ar-KM:الألبانية	ar-KW:الألبانية	ar-LB:الألبانية	ar-LY:الألبانية	ar-MA:الألبانية
